NAME,DEPARTMENT,SALARY,AGE,LOCATION,PERFORMANCE,YEARS_EXPERIENCE
JOHN,HR,70900,34,Ibadan,86,6
MIRABEL,FINANCE,50000,23,Lagos,68,1
SOPHIA,BANKING,60000,27,Ibadan,60,6
TRUST,MARKETING,71000,29,Ibadan,89,6
MIRABEL,IT,60000,26,Abuja,32,4
AHMED,FINANCE,86000,27,Ibadan,50,8
BEATRICE,HR,68000,36,Kano,36,4
CHIDI,FINANCE,76000,31,Ibadan,41,6
DANIEL,FINANCE,89000,26,Abuja,39,8
ESTHER,BANKING,61000,44,Kano,61,4
FAROUK,LEGAL,55000,27,Lagos,87,1
GLORIA,SALES,81000,31,Ibadan,65,8
HAKEEM,LEGAL,81000,41,Lagos,93,8
IBIERE,HR,45000,34,Lagos,28,1
JIDE,BANKING,75000,28,Ibadan,85,4
KEMI,MARKETING,63000,39,Ibadan,80,3
LAMI,BANKING,54000,40,Port Harcourt,35,1
MOFEYI,LEGAL,86000,44,Kano,31,8
NNEKA,SALES,59000,32,Ibadan,33,2
OSCAR,MARKETING,64000,24,Lagos,56,4
